id,link,name,status,lat,lng,year,first,area,population
1,Александровка (Аннинский район),Александровка,Посёлок,51.33389,40.85194,,,,120
2,Анна (Воронежская область),Анна,Посёлок городского типа,51.48333,40.41667,в 1698 году,1698,,16064
3,Артюшкино (Воронежская область),Артюшкино,Село,51.3462333,40.9594778,XVIII век,,,500
4,Архангельское (Аннинский район),Архангельское,Село,51.45028,40.93222,XVIII век,,,2165
5,Бабинка (Воронежская область),Бабинка,Посёлок,51.3354278,41.03445,,,,18
6,Берёзовка (Аннинский район),Берёзовка,Село,51.315,40.20194,,,,936
7,Бобяково,Бобяково,Село,51.5152333,40.8067111,,,,85
8,Большая Алексеевка (Воронежская область),Большая Алексеевка,Село,51.543741,40.777863,,,,234
9,Большие Ясырки (Аннинский район),Большие Ясырки,Село,51.6207528,40.4791417,1686,,,646
10,Бродовое (Воронежская область),Бродовое,Село,51.48833,40.49528,1780,,,1228
11,Васильевка (Аннинский район),Васильевка,Село,51.48611,40.19889,,,,586
12,Верхняя Тойда,Верхняя Тойда,Село,51.421986,40.304829,,,,836
13,Гусевка (Воронежская область),Гусевка,Посёлок,51.4375111,41.1027889,,,,93
14,Гусевка 2-я,Гусевка 2-я,Посёлок,51.34861,40.84222,,,,179
15,Денисовка (Воронежская область),Денисовка,Посёлок,51.6147,40.4286278,,,,1
16,Дерябкино (Воронежская область),Дерябкино,Село,51.5273639,40.9371222,,,,489
17,Дмитровский (Воронежская область),Дмитровский,Посёлок,51.4376194,40.3964222,,,,21
18,Дубровка (Аннинский район),Дубровка,Посёлок,51.3927028,40.7979333,,,,116
19,Желанное (Воронежская область),Желанное,Село,51.53667,40.4275,,,,301
20,Загорщино,Загорщино,Село,51.2703556,40.344222,,,,72
21,Зеленёвка,Зеленёвка,Посёлок,51.44583,40.12694,,,,12
22,Козловский (Аннинский район),Козловский,Посёлок,51.3173583,40.2577722,,,,20
23,Красный (Аннинский район),Красный,Посёлок,51.4878694,41.1154833,,,,32
24,Красный Лог (Аннинский район),Красный Лог,Посёлок,51.5275861,41.0747028,,,,242
25,Кругловский,Кругловский,Посёлок,51.424056,41.0601917,,,,145
26,Круглоподпольное,Круглоподпольное,Поселок,51.5327583,40.3337333,,,,440
27,Кушлев,Кушлев,Посёлок,51.3907694,40.504333,,,3 км²,45
28,Левашовка (Воронежская область),Левашовка,Село,51.4813389,40.33545,,,,295
29,Мосоловка (Воронежская область),Мосоловка,Село,51.56945,40.4299389,,1698,,375
30,Моховое (Аннинский район),Моховое,Село,51.42083,40.60083,,1810,,357
31,Нащёкино (Воронежская область),Нащёкино,Село,51.39917,40.13806,,1810,,529
32,"Николаевка (посёлок, Аннинский район)",Николаевка,Посёлок,51.29917,40.84972,,,,37
33,"Николаевка (село, Аннинский район)",Николаевка,Село,51.51667,40.26667,,,,1188
34,Никольское (Аннинский район),Никольское,Село,51.4687111,40.9595611,,,,1159
35,Новая Жизнь (Аннинский район),Новая Жизнь,Посёлок,51.4077639,40.7456472,,,,555
36,Новомакаровский,Новомакаровский,Посёлок,51.4265,41.1159667,,,,13
37,Новонадеждинский,Новонадеждинский,Поселок,51.4444528,40.2194056,,,,707
38,Новоникольский (Аннинский район),Новоникольский,Посёлок,51.2846083,40.8745861,,,,6
39,Новый Курлак,Новый Курлак,Село,51.44056,40.5525,1740,,,585
40,Островки (Воронежская область),Островки,Село,51.4238417,40.9224833,,,,727
41,Панкратовский (Воронежская область),Панкратовский,Посёлок,51.412275,40.3830722,,,,20
42,Первомайское (Аннинский район),Первомайское,Посёлок,51.5720361,40.380425,,,,59
43,Петровка (Аннинский район),Петровка,Посёлок,51.2922722,40.8491056,,,,81
44,Посёлок Комсомольского отделения совхоза «Красное Знамя»,Комсомольского отделения совхоза «Красное Знамя»,Посёлок,51.57444,40.60389,,,,91
45,Посёлок Октябрьского отделения совхоза «Пугачёвский»,Октябрьского отделения совхоза «Пугачёвский»,Посёлок,51.57583,40.71639,,,,74
46,Посёлок Первомайского отделения совхоза «Пугачёвский»,Первомайского отделения совхоза «Пугачёвский»,Посёлок,51.54194,40.68333,,,,51
47,Посёлок отделения «2-я Пятилетка» совхоза «Красное Знамя»,отделения «2-я Пятилетка»совхоза «Красное Знамя»,Посёлок,51.60139,40.7075,,,,53
48,Прогресс (Воронежская область),Прогресс,Посёлок,51.59583,40.49167,,,,125
